source,target
146687,558240
146687,47
146687,3219627
146687,2921077
146687,66620
146687,1242957
146687,1189929
146687,37759
146687,20056
146687,2330903
4173,5049
4173,10774
4173,39187
4173,34546
4173,1038
4173,349
4173,20215
4173,1776
4173,2130
4173,7447
4173,9560
4173,3085
4173,4786
4173,707
4173,326
2803001,2787630
117180,1428889
117180,3323316
117180,2021450
117180,3797418
117180,214317
117180,937663
117180,937664
117180,937665
117180,1416398
117180,46432
117180,116341
117180,21278
117180,13724
117180,7447
117180,3237245
117180,2320382
117180,2130
117180,16431
117180,2203
8488,8487
8488,8483
8488,8482
8488,6349
8488,7046
8488,1102449
8488,1298360
8488,1935918
8488,1583355
2130,16431
2130,2203
2130,3026
2130,32
2130,12132
2130,64
2130,2127
2130,2128
2130,2675
6861,68750
6861,20959
6861,62861
6861,53256
6861,6355
6861,7673
6861,3229
6861,11155
6861,4027
6861,3027
19011,1189929
19011,7904
19011,74266
19011,2801284
19011,1220601
19011,1066763
19011,8261
19011,50707
19011,3273875
19011,3622690
19011,3622691
19011,1322032
19011,1322033
19011,1322034
19011,1670479
19011,1625013
19011,84384
19011,1152
19011,3331792
19011,120578
19011,3492377
19011,3492379
19011,3492380
19011,2130
19011,16431
19011,2203
19011,1373154
19011,3439970
19011,3439971
92029,218506
4512,380
4512,4513
4512,6721
4512,6450
4512,3380
4512,157936
4512,4430
4512,4517
6193,103
6193,2282
6193,24045
6193,3899
6193,21007
6193,234352
6193,16418
6193,15831
6193,11478
6193,380
6193,134
6193,27319
6193,1206
6193,70851
6193,56159
6193,9261
6193,488
6193,2689
6193,449538
6193,13309
6193,1661465
6193,1678375
6193,3202303
6193,3202306
1224841,1212304
1224841,539
2787630,938972
2787630,2149806
2787630,1386798
2787630,100709
2787630,21111
2787630,13348
2787630,1247141
2787630,2802990
33663,1072882
33663,1987684
33663,1145892
33663,1807640
33663,557911
33663,7447
33663,1748
33663,11161
33663,27765
33663,1167702
33663,1167703
33663,2323039
33663,2339577
33663,10127
33663,1229169
33663,16214
33663,227811
33663,1222706
33663,1116399
33663,18802
33663,1816204
33663,1816207
33663,3342345
33663,1954181
33663,240633
33663,1306642
33663,2289540
33663,2662043
33663,2266228
33663,2435679
33663,2266230
33663,1289968
33663,1718961
33663,2762565
33663,56446
33663,237743
33663,568535
33663,1326321
33663,57342
33663,2569912
33663,2601848
33663,1173567
33663,16620
33663,77120
33663,1647876
33663,3252749
33663,3370866
33663,28151
33663,2982422
33663,3242458
33663,82702
33663,3635
33663,11510
33663,2214123
33663,2412677
33663,2412679
33663,1257899
33663,84788
33663,240948
33663,567335
33663,115788
33663,112219
33663,25504
33663,160733
38803,64
38803,151007
38803,5953
38803,325
38803,3125
38803,3084
38803,1158
38803,3085
38803,3087
38803,3092
21127,1692944
21127,9827
21127,143103
21127,21708
21127,72983
21127,124909
21127,4038
21127,18992
21127,2047
8487,7046
8487,1102449
8487,8483
8487,8482
8487,6349
8487,20156
8487,4347
8487,4299
8487,1032
8487,1150
8487,1776
9780,44796
9780,77896
9780,35705
9780,143242
9780,174837
9780,134
9780,56323
9780,78577
9780,3223
9780,16828
9780,103
3092,3084
12132,32749
12132,99
12132,6804
12132,69302
12132,65529
12132,4027
12132,1223867
12132,46348
2102583,21111
19429,1062379
19429,65103
19429,57700
19429,2103203
19429,131168
19429,62410
19429,122528
19429,15111
19429,1341
19429,51576
19429,135177
19429,132476
19429,1698118
19429,240040
19429,1071306
19429,3700763
19429,1134829
19429,11163
19429,1619377
19429,1619354
19429,10814
19429,1408270
19429,1698169
19429,102883
19429,26775
19429,21227
19429,987587
47775,87496
47775,2550161
47775,16866
47775,183255
47775,65605
47775,5723
47775,63522
47775,94759
47775,2774840
47775,1179651
47775,216674
47775,11695
47775,893
47775,4723
64,1415341
64,1267653
64,7467
64,1519399
64,1003
64,524
64,3894
64,1810
64,3895
64,958722
64,41381
64,10980
64,10989
64,10990
64,219479
64,1101349
64,1407495
64,3361135
64,1812
1038,349
1038,380
1038,13
539,133451
539,111684
539,529
539,530
539,532
128550,3125
128550,116341
128550,1107983
128550,1280183
128550,1006651
65605,990578
65605,1056814
65605,107375
65605,2712640
65605,65606
65605,1304153
65605,87919
65605,928391
65605,16620
65605,25504
65605,160733
65605,2614650
65605,568585
65605,217275
12824,1653447
12824,2418360
12824,62048
12824,110675
12824,1393037
12824,150111
12824,14730
12824,1122063
12824,57334
496175,179512
496175,1865991
496175,181934
496175,59785
496175,84932
496175,16450
18269,21200
18269,8349
18269,26466
18269,51551
180659,1385039
180659,1641150
180659,1408141
180659,116341
180659,1165240
180659,1006651
101032,21315
101032,47879
101032,1582
70261,7173
70261,27011
70261,8851
70261,543105
70261,40
70261,7664
70261,11029
53397,138986
53397,7904
53397,1735828
53397,72208
53397,3284
53397,18746
53397,37934
53397,15310
53397,12207
53397,167662
53397,1564846
53397,1473281
53397,2522829
53397,23678
53397,35806
225620,1395884
225620,105762
225620,1142232
181934,54422
181934,2535
181934,2391
181934,1753
181934,82702
181934,3635
181934,11510
21111,1050881
21111,7571
21111,84378
21111,1420
21111,2102600
21111,2803017
21111,2803001
21111,524
21111,225009
21111,6431
21111,214317
21111,13716
21111,117180
21111,228815
21111,3296711
21111,1792946
21111,1152
21111,3331792
21111,120578
21111,57738
21111,1141815
21111,1204877
21111,1670479
21111,1625013
21111,84384
21111,2214123
21111,2412677
21111,2412679
21111,31
21111,32
21111,33
349,59219
349,15675
349,1137
349,11770
349,515
349,28974
349,15851
349,15009
349,3084
349,3087
349,8349
851784,204
851784,20508
851784,10297
851784,1813
851784,83002
106179,80253
106179,93655
106179,326
106179,1747292
106179,142858
106179,117164
106179,39015
68402,5049
62410,240177
62410,70590
62410,57250
62410,26775
62410,240168
62410,1836691
62410,52908
62410,26785
62410,1134829
62410,57700
62410,97338
62410,1051846
62410,70690
62410,11163
62410,119439
62410,1437556
62410,115916
62410,26724
62410,26727
62410,83625
62410,56811
62410,1427625
62410,240152
62410,576408
62410,26739
62410,62419
62410,5563
62410,51816
62410,46602
62410,2103203
62410,131168
2227,75394
2227,1083951
2227,150536
2227,76182
2227,2682390
2227,76788
2227,108916
2227,1371
2227,113552
2227,1242514
2227,1246450
2227,326
2227,1747292
2227,106179
13309,929825
13309,2302408
13309,20019
13309,1658802
13309,964843
13309,1661465
13309,3889844
13309,172069
13309,1215522
13309,1896
13309,82702
13309,3635
13309,11510
13309,1298360
13309,1935918
13309,1583355
6721,78045
6721,52603
6721,37446
6721,16759
6721,32791
6721,66811
6721,13295
6721,34745
6721,7668
6721,15152
6721,42157
6721,6677
6721,6678
6721,6714
1735828,85564
1735828,86800
1735828,14386
1735828,84932
1735828,1214573
1735828,93527
7173,144021
7173,1075094
7173,102499
4784,27888
4784,13333
4784,5656
4784,1245
4784,1023139
4784,60900
4784,1603921
4784,1603922
4784,67367
4784,670
4784,557528
5049,17787
5049,201511
5049,10774
5049,9188
5049,47096
5049,136532
5049,20049
5049,35862
5049,65446
5049,578
5049,10205
5049,5048
5049,4139
5049,5047
5049,10980
5049,10989
5049,10990
5049,10828
5049,66266
5049,40832
5049,47513
5049,137928
5049,80112
5049,1487
5049,7487
5049,1428
2089925,108081
2089925,88183
2089925,44822
62048,1186197
62048,110675
62048,574290
